,name,count
650,섞박지,28
663,체리,27
653,"빵,쨈빵",27
558,"꼴뚜기젓,양념",27
639,칡즙,27
644,치커리,26
607,햄구이,26
636,파인애플,26
605,과즙음료,26
651,쌍화차,26
671,호두과자,26
593,포도주,26
575,살구,25
627,초콜렛바,25
582,한방차,25
654,감자튀김,24
690,문어,24
694,케일,23
624,무화과,23
682,어묵,22
594,탄산음료,22
632,"케이크,데코레이션케이크(생크림케이크)",22
648,마,21
670,전복,20
630,낙지,19
649,엿,17
664,"복숭아,넥타",17
642,매실주,17
666,"돼지고기가공품,소시지",16
687,조기젓,16
616,"도우넛,팥",16
606,고깃국물육수,16
635,망고,15
647,환타,14
656,산딸기,14
669,"염교,장아찌(락교)",14
678,만주,14
677,"생강,편강",14
700,홍차,13
655,둥굴레차,13
673,치즈빵,12
696,"대두,콩가루",11
698,인삼,11
699,"한과,약과",11
702,우럭,11
683,고춧가루,11
657,"버섯구이,버섯",11
685,버터,10
684,시럽,10
646,자몽,10
693,허브차,9
640,주꾸미,9
676,청주,9
691,"돼지고기,간",7
675,"빵,롤빵",6
701,"장어,붕장어(아나고)",5
