,음식코드명
게조림,88
"갈치조림,애호박",88
"양념장,밥비빔용",87
"냉채,해파리",87
햄부침,87
"돼지고기가공품,소시지",87
"만두국,김치만두",86
"김밥,모듬,김마끼",86
"파래무침,무",86
섞어찌개(모듬찌개),86
"된장국,유부",86
"덮밥,소고기",86
"고추장찌개,두부",86
"멸치젓,양념",86
쥐포조림,85
"빵,트위스터",85
스포츠음료,84
새우볶음,84
"덮밥,오징어",84
회무침,84
고추볶음,84
"된장국,미역",83
"미역국,새우",83
어묵조림,82
"풋고추된장무침,풋고추",82
닭모래집볶음,81
가죽나물,81
"갈치조림,감자",81
호박고지볶음,81
"명란젓,양념",81
돌나물무침,80
오가피나물,79
"죽,콩나물죽",79
포테이토칩,79
"스파게티,오븐",78
브라질너트,78
"녹두빈대떡,채소",78
"비빔밥,돌솥",78
"선짓국,선지만",77
"잡채,부추",77
"스테이크,안심",77
파래전,77
웨하스,77
돼지갈비강정,77
런천미트구이,76
소고기산적,76
오징어찌개,75
"떡볶이,채소",75
"토란대나물,들깨",75
김튀김,75
캐슈넛,75
"떡,인절미",75
"쑥갓나물,간장,소금",74
후추,74
민들레무침,73
"된장국,냉이",73
"황태국,콩나물",73
콘치즈구이,73
돼지껍데기볶음,72
"크래커,샌드",72
"잡곡밥,흑미",72
"미나리무침,고춧가루",72
"김밥,고추",72
"감자볶음,어묵",72
"볶음밥,김치,참치",72
병어조림,71
사과주스,71
"된장찌개,미더덕",70
홍합국(홍합탕),70
"된장국,무",70
밤,69
"주먹밥,참치",69
"해장국,올갱이",69
"겉절이,열무",69
"콩나물무침,초무침,콩나물냉채",69
"고추장찌개,호박",69
"덮밥,낙지",69
"닭튀김,너겟",69
두부양념볶음,68
오징어야채무침,68
어육소시지전,68
식혜,68
"순두부찌개,김치",67
마늘쫑장아찌,67
내장탕,66
블루베리,66
"매운탕,대구,내장",66
당근볶음,66
소세지어묵조림,66
"초밥,문어",66
"매운탕,아귀",66
순대,66
새우젓국,65
"김밥,계란말이",65
번데기조림,65
비타민음료,65
"전골,버섯전골",65
도가니탕,65
들깨국,65
"낙지젓,양념",65
"국밥,순대국밥",64
"죽,녹두죽",64
버섯국,64
"국밥,돼지(머리)",64
"굴무침,무",64
"감자볶음,햄",64
"지리,아귀",64
청경채나물,64
"김치국,두부",64
밀면,63
